t,e_max
0,0
0.001001,0.121716
0.002002,0.0398142
0.003003,0.0333828
0.004004,0.0174777
0.00500501,0.0147629
0.00600601,0.00976506
0.00700701,0.00884668
0.00800801,0.00676942
0.00900901,0.00646118
0.01001,0.00536396
0.011011,0.00526482
0.012012,0.0047036
0.013013,0.00454196
0.014014,0.00422062
0.015015,0.0040429
0.016016,0.00382669
0.017017,0.00366804
0.018018,0.0035063
0.019019,0.00337149
0.02002,0.00324272
0.021021,0.00312896
0.022022,0.00302259
0.023023,0.00292596
0.024024,0.00283601
0.025025,0.00275307
0.026026,0.00267574
0.027027,0.00260379
0.028028,0.00253646
0.029029,0.00247342
0.03003,0.00241418
0.031031,0.00235844
0.032032,0.00230586
0.033033,0.00225619
0.034034,0.00220917
0.035035,0.0021646
0.036036,0.00212227
0.037037,0.00208201
0.038038,0.00204368
0.039039,0.00200712
0.04004,0.00197222
0.041041,0.00193886
0.042042,0.00190693
0.043043,0.00187634
0.044044,0.00184701
0.045045,0.00181885
0.046046,0.0017918
0.047047,0.00176578
0.048048,0.00174074
0.049049,0.00171661
0.0500501,0.00169336
0.0510511,0.00167092
0.0520521,0.00164925
0.0530531,0.00162832
0.0540541,0.00160808
0.0550551,0.00158851
0.0560561,0.00156955
0.0570571,0.0015512
0.0580581,0.0015334
0.0590591,0.00151615
0.0600601,0.00149941
0.0610611,0.00148316
0.0620621,0.00146738
0.0630631,0.00145204
0.0640641,0.00143713
0.0650651,0.00142263
0.0660661,0.00140851
0.0670671,0.00139478
0.0680681,0.0013814
0.0690691,0.00136836
0.0700701,0.00135566
0.0710711,0.00134327
0.0720721,0.00133119
0.0730731,0.0013194
0.0740741,0.00130789
0.0750751,0.00129687
0.0760761,0.00128621
0.0770771,0.00127579
0.0780781,0.00126559
0.0790791,0.00125562
0.0800801,0.00124585
0.0810811,0.00123628
0.0820821,0.00122692
0.0830831,0.00121774
0.0840841,0.00120875
0.0850851,0.00119993
0.0860861,0.00119129
0.0870871,0.00118282
0.0880881,0.00117451
0.0890891,0.00116636
0.0900901,0.00115836
0.0910911,0.00115051
0.0920921,0.0011428
0.0930931,0.00113523
0.0940941,0.0011278
0.0950951,0.00112051
0.0960961,0.00111334
0.0970971,0.00110629
0.0980981,0.00109937
0.0990991,0.00109256
0.1001,0.00108587
0.101101,0.0010793
0.102102,0.00107283
0.103103,0.00106647
0.104104,0.00106021
0.105105,0.00105405
0.106106,0.00104799
0.107107,0.00104202
0.108108,0.00103615
0.109109,0.00103037
0.11011,0.00102468
0.111111,0.00101908
0.112112,0.00101356
0.113113,0.00100812
0.114114,0.00100277
0.115115,0.000997489
0.116116,0.000992288
0.117117,0.000987163
0.118118,0.00098211
0.119119,0.00097713
0.12012,0.000972219
0.121121,0.000967377
0.122122,0.000962602
0.123123,0.000957893
0.124124,0.000953248
0.125125,0.000948665
0.126126,0.000944144
0.127127,0.000939683
0.128128,0.000935281
0.129129,0.000930936
0.13013,0.000926648
0.131131,0.000922415
0.132132,0.000918236
0.133133,0.00091411
0.134134,0.000910036
0.135135,0.000906012
0.136136,0.000902039
0.137137,0.000898114
0.138138,0.000894238
0.139139,0.000890408
0.14014,0.000886624
0.141141,0.000882886
0.142142,0.000879192
0.143143,0.000875541
0.144144,0.000871933
0.145145,0.000868367
0.146146,0.000864842
0.147147,0.000861358
0.148148,0.000857913
0.149149,0.000854506
0.15015,0.000851138
0.151151,0.000847808
0.152152,0.000844514
0.153153,0.000841257
0.154154,0.000838035
0.155155,0.000834848
0.156156,0.000831695
0.157157,0.000828576
0.158158,0.00082549
0.159159,0.000822436
0.16016,0.000819415
0.161161,0.000816425
0.162162,0.000813466
0.163163,0.000810538
0.164164,0.000807639
0.165165,0.00080477
0.166166,0.00080193
0.167167,0.000799119
0.168168,0.000796335
0.169169,0.000793579
0.17017,0.00079085
0.171171,0.000788148
0.172172,0.000785472
0.173173,0.000782822
0.174174,0.000780198
0.175175,0.000777598
0.176176,0.000775024
0.177177,0.000772473
0.178178,0.000769947
0.179179,0.000767444
0.18018,0.000764964
0.181181,0.000762508
0.182182,0.000760074
0.183183,0.000757662
0.184184,0.000755272
0.185185,0.000752903
0.186186,0.000750556
0.187187,0.00074823
0.188188,0.000745924
0.189189,0.000743639
0.19019,0.000741374
0.191191,0.000739128
0.192192,0.000736902
0.193193,0.000734696
0.194194,0.000732508
0.195195,0.000730339
0.196196,0.000728188
0.197197,0.000726056
0.198198,0.000723941
0.199199,0.000721844
0.2002,0.000719765
0.201201,0.000717703
0.202202,0.000715658
0.203203,0.000713629
0.204204,0.000711618
0.205205,0.000709622
0.206206,0.000707643
0.207207,0.000705679
0.208208,0.000703731
0.209209,0.000701799
0.21021,0.000699882
0.211211,0.00069798
0.212212,0.000696093
0.213213,0.00069422
0.214214,0.000692362
0.215215,0.000690519
0.216216,0.000688689
0.217217,0.000686874
0.218218,0.000685072
0.219219,0.000683284
0.22022,0.00068151
0.221221,0.000679749
0.222222,0.000678001
0.223223,0.000676266
0.224224,0.000674544
0.225225,0.000672834
0.226226,0.000671137
0.227227,0.000669453
0.228228,0.00066778
0.229229,0.00066612
0.23023,0.000664472
0.231231,0.000662835
0.232232,0.00066121
0.233233,0.000659597
0.234234,0.000657995
0.235235,0.000656404
0.236236,0.000654825
0.237237,0.000653256
0.238238,0.000651699
0.239239,0.000650152
0.24024,0.000648616
0.241241,0.00064709
0.242242,0.000645575
0.243243,0.00064407
0.244244,0.000642575
0.245245,0.00064109
0.246246,0.000639615
0.247247,0.000638151
0.248248,0.000636695
0.249249,0.00063525
0.25025,0.000633814
0.251251,0.000632387
0.252252,0.00063097
0.253253,0.000629562
0.254254,0.000628163
0.255255,0.000626773
0.256256,0.000625392
0.257257,0.00062402
0.258258,0.000622657
0.259259,0.000621302
0.26026,0.000619956
0.261261,0.000618619
0.262262,0.00061729
0.263263,0.000615969
0.264264,0.000614656
0.265265,0.000613352
0.266266,0.000612055
0.267267,0.000610767
0.268268,0.000609486
0.269269,0.000608213
0.27027,0.000606948
0.271271,0.000605691
0.272272,0.000604441
0.273273,0.000603199
0.274274,0.000601964
0.275275,0.000600737
0.276276,0.000599517
0.277277,0.000598304
0.278278,0.000597098
0.279279,0.0005959
0.28028,0.000594708
0.281281,0.000593524
0.282282,0.000592346
0.283283,0.000591175
0.284284,0.000590011
0.285285,0.000588853
0.286286,0.000587702
0.287287,0.000586558
0.288288,0.00058542
0.289289,0.000584289
0.29029,0.000583164
0.291291,0.000582047
0.292292,0.000580942
0.293293,0.000579842
0.294294,0.000578749
0.295295,0.000577662
0.296296,0.00057658
0.297297,0.000575505
0.298298,0.000574435
0.299299,0.000573371
0.3003,0.000572313
0.301301,0.00057126
0.302302,0.000570214
0.303303,0.000569172
0.304304,0.000568137
0.305305,0.000567106
0.306306,0.000566082
0.307307,0.000565062
0.308308,0.000564048
0.309309,0.000563039
0.31031,0.000562036
0.311311,0.000561037
0.312312,0.000560044
0.313313,0.000559056
0.314314,0.000558073
0.315315,0.000557096
0.316316,0.000556123
0.317317,0.000555155
0.318318,0.000554192
0.319319,0.000553234
0.32032,0.00055228
0.321321,0.000551332
0.322322,0.000550388
0.323323,0.000549449
0.324324,0.000548514
0.325325,0.000547585
0.326326,0.00054666
0.327327,0.000545739
0.328328,0.000544823
0.329329,0.000543911
0.33033,0.000543004
0.331331,0.000542101
0.332332,0.000541203
0.333333,0.000540309
0.334334,0.00053942
0.335335,0.000538534
0.336336,0.000537653
0.337337,0.000536776
0.338338,0.000535903
0.339339,0.000535035
0.34034,0.00053417
0.341341,0.00053331
0.342342,0.000532454
0.343343,0.000531601
0.344344,0.000530753
0.345345,0.000529909
0.346346,0.000529068
0.347347,0.000528232
0.348348,0.000527399
0.349349,0.00052657
0.35035,0.000525745
0.351351,0.000524924
0.352352,0.000524106
0.353353,0.000523293
0.354354,0.000522483
0.355355,0.000521676
0.356356,0.000520874
0.357357,0.000520074
0.358358,0.000519279
0.359359,0.000518487
0.36036,0.000517699
0.361361,0.000516914
0.362362,0.000516132
0.363363,0.000515354
0.364364,0.00051458
0.365365,0.000513809
0.366366,0.000513041
0.367367,0.000512277
0.368368,0.000511516
0.369369,0.000510758
0.37037,0.000510003
0.371371,0.000509252
0.372372,0.000508504
0.373373,0.00050776
0.374374,0.000507018
0.375375,0.00050628
0.376376,0.000505545
0.377377,0.000504813
0.378378,0.000504084
0.379379,0.000503358
0.38038,0.000502635
0.381381,0.000501916
0.382382,0.000501199
0.383383,0.000500485
0.384384,0.000499775
0.385385,0.000499067
0.386386,0.000498362
0.387387,0.00049766
0.388388,0.000496961
0.389389,0.000496265
0.39039,0.000495572
0.391391,0.000494881
0.392392,0.000494194
0.393393,0.000493509
0.394394,0.000492827
0.395395,0.000492148
0.396396,0.000491472
0.397397,0.000490798
0.398398,0.000490127
0.399399,0.000489459
0.4004,0.000488793
0.401401,0.00048813
0.402402,0.00048747
0.403403,0.000486812
0.404404,0.000486157
0.405405,0.000485504
0.406406,0.000484855
0.407407,0.000484207
0.408408,0.000483562
0.409409,0.00048292
0.41041,0.00048228
0.411411,0.000481643
0.412412,0.000481008
0.413413,0.000480376
0.414414,0.000479746
0.415415,0.000479119
0.416416,0.000478494
0.417417,0.000477871
0.418418,0.000477251
0.419419,0.000476633
0.42042,0.000476017
0.421421,0.000475404
0.422422,0.000474793
0.423423,0.000474184
0.424424,0.000473578
0.425425,0.000472974
0.426426,0.000472373
0.427427,0.000471773
0.428428,0.000471176
0.429429,0.000470581
0.43043,0.000469988
0.431431,0.000469397
0.432432,0.000468809
0.433433,0.000468223
0.434434,0.000467639
0.435435,0.000467057
0.436436,0.000466477
0.437437,0.000465899
0.438438,0.000465324
0.439439,0.00046475
0.44044,0.000464179
0.441441,0.00046361
0.442442,0.000463042
0.443443,0.000462477
0.444444,0.000461914
0.445445,0.000461353
0.446446,0.000460794
0.447447,0.000460237
0.448448,0.000459681
0.449449,0.000459128
0.45045,0.000458577
0.451451,0.000458028
0.452452,0.00045748
0.453453,0.000456935
0.454454,0.000456392
0.455455,0.00045585
0.456456,0.00045531
0.457457,0.000454773
0.458458,0.000454237
0.459459,0.000453703
0.46046,0.00045317
0.461461,0.00045264
0.462462,0.000452112
0.463463,0.000451585
0.464464,0.00045106
0.465465,0.000450537
0.466466,0.000450016
0.467467,0.000449496
0.468468,0.000448978
0.469469,0.000448462
0.47047,0.000447948
0.471471,0.000447436
0.472472,0.000446925
0.473473,0.000446416
0.474474,0.000445908
0.475475,0.000445403
0.476476,0.000444899
0.477477,0.000444397
0.478478,0.000443896
0.479479,0.000443397
0.48048,0.0004429
0.481481,0.000442404
0.482482,0.00044191
0.483483,0.000441418
0.484484,0.000440927
0.485485,0.000440438
0.486486,0.00043995
0.487487,0.000439465
0.488488,0.00043898
0.489489,0.000438497
0.49049,0.000438016
0.491491,0.000437537
0.492492,0.000437059
0.493493,0.000436582
0.494494,0.000436107
0.495495,0.000435634
0.496496,0.000435162
0.497497,0.000434691
0.498498,0.000434222
0.499499,0.000433755
0.500501,0.000433289
0.501502,0.000432824
0.502503,0.000432361
0.503504,0.0004319
0.504505,0.00043144
0.505506,0.000430981
0.506507,0.000430524
0.507508,0.000430068
0.508509,0.000429614
0.50951,0.000429161
0.510511,0.00042871
0.511512,0.000428259
0.512513,0.000427811
0.513514,0.000427363
0.514515,0.000426918
0.515516,0.000426473
0.516517,0.00042603
0.517518,0.000425588
0.518519,0.000425148
0.51952,0.000424708
0.520521,0.000424271
0.521522,0.000423834
0.522523,0.000423399
0.523524,0.000422965
0.524525,0.000422533
0.525526,0.000422102
0.526527,0.000421672
0.527528,0.000421243
0.528529,0.000420816
0.52953,0.00042039
0.530531,0.000419965
0.531532,0.000419542
0.532533,0.00041912
0.533534,0.000418699
0.534535,0.000418279
0.535536,0.000417861
0.536537,0.000417444
0.537538,0.000417028
0.538539,0.000416613
0.53954,0.000416199
0.540541,0.000415787
0.541542,0.000415376
0.542543,0.000414966
0.543544,0.000414558
0.544545,0.00041415
0.545546,0.000413744
0.546547,0.000413339
0.547548,0.000412935
0.548549,0.000412532
0.54955,0.00041213
0.550551,0.00041173
0.551552,0.000411331
0.552553,0.000410932
0.553554,0.000410535
0.554555,0.00041014
0.555556,0.000409745
0.556557,0.000409351
0.557558,0.000408959
0.558559,0.000408567
0.55956,0.000408177
0.560561,0.000407788
0.561562,0.0004074
0.562563,0.000407013
0.563564,0.000406627
0.564565,0.000406242
0.565566,0.000405859
0.566567,0.000405476
0.567568,0.000405094
0.568569,0.000404714
0.56957,0.000404334
0.570571,0.000403956
0.571572,0.000403579
0.572573,0.000403202
0.573574,0.000402827
0.574575,0.000402453
0.575576,0.00040208
0.576577,0.000401707
0.577578,0.000401336
0.578579,0.000400966
0.57958,0.000400597
0.580581,0.000400229
0.581582,0.000399862
0.582583,0.000399496
0.583584,0.000399131
0.584585,0.000398767
0.585586,0.000398403
0.586587,0.000398041
0.587588,0.00039768
0.588589,0.00039732
0.58959,0.000396961
0.590591,0.000396602
0.591592,0.000396245
0.592593,0.000395889
0.593594,0.000395533
0.594595,0.000395179
0.595596,0.000394825
0.596597,0.000394473
0.597598,0.000394121
0.598599,0.00039377
0.5996,0.00039342
0.600601,0.000393072
0.601602,0.000392724
0.602603,0.000392377
0.603604,0.00039203
0.604605,0.000391685
0.605606,0.000391341
0.606607,0.000390997
0.607608,0.000390655
0.608609,0.000390313
0.60961,0.000389973
0.610611,0.000389633
0.611612,0.000389294
0.612613,0.000388956
0.613614,0.000388618
0.614615,0.000388282
0.615616,0.000387946
0.616617,0.000387612
0.617618,0.000387278
0.618619,0.000386945
0.61962,0.000386613
0.620621,0.000386282
0.621622,0.000385951
0.622623,0.000385622
0.623624,0.000385293
0.624625,0.000384965
0.625626,0.000384638
0.626627,0.000384312
0.627628,0.000383986
0.628629,0.000383662
0.62963,0.000383338
0.630631,0.000383015
0.631632,0.000382693
0.632633,0.000382371
0.633634,0.000382051
0.634635,0.000381731
0.635636,0.000381412
0.636637,0.000381094
0.637638,0.000380777
0.638639,0.00038046
0.63964,0.000380144
0.640641,0.000379829
0.641642,0.000379515
0.642643,0.000379201
0.643644,0.000378889
0.644645,0.000378577
0.645646,0.000378265
0.646647,0.000377955
0.647648,0.000377645
0.648649,0.000377336
0.64965,0.000377028
0.650651,0.000376721
0.651652,0.000376414
0.652653,0.000376108
0.653654,0.000375803
0.654655,0.000375498
0.655656,0.000375195
0.656657,0.000374892
0.657658,0.000374589
0.658659,0.000374288
0.65966,0.000373987
0.660661,0.000373687
0.661662,0.000373387
0.662663,0.000373089
0.663664,0.000372791
0.664665,0.000372494
0.665666,0.000372197
0.666667,0.000371901
0.667668,0.000371606
0.668669,0.000371311
0.66967,0.000371018
0.670671,0.000370725
0.671672,0.000370432
0.672673,0.00037014
0.673674,0.000369849
0.674675,0.000369559
0.675676,0.000369269
0.676677,0.00036898
0.677678,0.000368692
0.678679,0.000368404
0.67968,0.000368117
0.680681,0.000367831
0.681682,0.000367545
0.682683,0.00036726
0.683684,0.000366976
0.684685,0.000366692
0.685686,0.000366409
0.686687,0.000366127
0.687688,0.000365845
0.688689,0.000365564
0.68969,0.000365284
0.690691,0.000365004
0.691692,0.000364725
0.692693,0.000364446
0.693694,0.000364168
0.694695,0.000363891
0.695696,0.000363614
0.696697,0.000363338
0.697698,0.000363063
0.698699,0.000362788
0.6997,0.000362514
0.700701,0.00036224
0.701702,0.000361968
0.702703,0.000361695
0.703704,0.000361423
0.704705,0.000361152
0.705706,0.000360882
0.706707,0.000360612
0.707708,0.000360343
0.708709,0.000360074
0.70971,0.000359806
0.710711,0.000359538
