x,U_KMB,U_exact
-6,0,0
-5.94979,0,0
-5.89958,0,0
-5.84937,0,0
-5.79916,0,0
-5.74895,0,0
-5.69874,0,0
-5.64854,0,0
-5.59833,0,0
-5.54812,0,0
-5.49791,0,0
-5.4477,0,0
-5.39749,0,0
-5.34728,0,0
-5.29707,0,0
-5.24686,0,0
-5.19665,0,0
-5.14644,0,0
-5.09623,0,2.11945e-284
-5.04603,0,7.14121e-279
-4.99582,0,2.12164e-273
-4.94561,0,5.55809e-268
-4.8954,0,1.28391e-262
-4.84519,0,2.61514e-257
-4.79498,0,4.69691e-252
-4.74477,0,7.43852e-247
-4.69456,0,1.03877e-241
-4.64435,0,1.27911e-236
-4.59414,0,1.38885e-231
-4.54393,0,1.32973e-226
-4.49372,0,1.12262e-221
-4.44351,0,8.3573e-217
-4.39331,0,5.48606e-212
-4.3431,0,3.17556e-207
-4.29289,0,1.62086e-202
-4.24268,0,7.29518e-198
-4.19247,0,2.89531e-193
-4.14226,0,1.01327e-188
-4.09205,0,3.12696e-184
-4.04184,0,8.50928e-180
-3.99163,0,2.04191e-175
-3.94142,0,4.3207e-171
-3.89121,0,8.06211e-167
-3.841,0,1.32654e-162
-3.79079,0,1.92474e-158
-3.74059,0,2.46266e-154
-3.69038,0,2.77855e-150
-3.64017,0,2.76451e-146
-3.58996,0,2.42551e-142
-3.53975,0,1.87662e-138
-3.48954,0,1.28039e-134
-3.43933,0,7.70367e-131
-3.38912,0,4.08742e-127
-3.33891,0,1.91248e-123
-3.2887,0,7.89122e-120
-3.23849,0,2.8714e-116
-3.18828,0,9.21398e-113
-3.13808,0,2.6074e-109
-3.08787,0,6.50696e-106
-3.03766,0,1.43206e-102
-2.98745,0,2.77946e-99
-2.93724,0,4.75751e-96
-2.88703,0,7.18159e-93
-2.83682,0,9.56066e-90
-2.78661,0,1.1225e-86
-2.7364,0,1.16229e-83
-2.68619,0,1.06141e-80
-2.63598,0,8.54863e-78
-2.58577,0,6.07232e-75
-2.53556,0,3.80421e-72
-2.48536,0,2.10199e-69
-2.43515,0,1.02438e-66
-2.38494,0,4.40307e-64
-2.33473,0,1.66926e-61
-2.28452,0,5.58181e-59
-2.23431,0,1.64631e-56
-2.1841,0,4.28294e-54
-2.13389,0,9.82819e-52
-2.08368,0,1.98937e-49
-2.03347,0,3.55201e-47
-1.98326,0,5.59449e-45
-1.93305,0,7.7729e-43
-1.88285,0,9.52694e-41
-1.83264,0,1.03011e-38
-1.78243,0,9.8261e-37
-1.73222,0,8.26919e-35
-1.68201,0,6.13963e-33
-1.6318,0,4.02191e-31
-1.58159,0,2.32462e-29
-1.53138,0,1.18554e-27
-1.48117,0,5.33511e-26
-1.43096,0,2.11864e-24
-1.38075,0,7.42465e-23
-1.33054,0,2.29629e-21
-1.28033,0,6.26809e-20
-1.23013,0,1.51019e-18
-1.17992,0,3.21177e-17
-1.12971,0,6.02995e-16
-1.0795,0,9.99485e-15
-1.02929,0,1.46277e-13
-0.979079,0,1.89043e-12
-0.92887,0,2.15767e-11
-0.878661,0,2.17526e-10
-0.828452,0,1.93733e-09
-0.778243,0,1.52456e-08
-0.728033,0,1.06028e-07
-0.677824,0,6.51823e-07
-0.627615,0,3.54316e-06
-0.577406,0,1.70348e-05
-0.527197,0,7.24643e-05
-0.476987,7.57967e-05,0.000272856
-0.426778,0.00043884,0.000909873
-0.376569,0.00194036,0.00268856
-0.32636,0.00597856,0.0070446
-0.276151,0.0155136,0.0163817
-0.225941,0.0331242,0.0338433
-0.175732,0.062023,0.062194
-0.125523,0.100834,0.101828
-0.0753138,0.146792,0.148825
-0.0251046,0.190153,0.194647
0.0251046,0.223257,0.228524
0.0753138,0.236435,0.241799
0.125523,0.228865,0.231743
0.175732,0.201818,0.202473
0.225941,0.164127,0.162559
0.276151,0.123074,0.121108
0.32636,0.0863875,0.0846904
0.376569,0.0570913,0.0562997
0.426778,0.03623,0.0360452
0.476987,0.0223216,0.022496
0.527197,0.0135863,0.0138228
0.577406,0.00822326,0.00842203
0.627615,0.00497724,0.00511074
0.677824,0.00301254,0.00309611
0.728033,0.00182338,0.00187447
0.778243,0.00110362,0.00113463
0.828452,0.000667982,0.000686762
0.878661,0.000404305,0.000415673
0.92887,0.000244711,0.000251592
0.979079,0.000148115,0.000152279
1.02929,8.96483e-05,9.21691e-05
1.0795,5.42608e-05,5.57865e-05
1.12971,3.2842e-05,3.37655e-05
1.17992,1.98781e-05,2.0437e-05
1.23013,1.20315e-05,1.23698e-05
1.28033,7.2822e-06,7.48697e-06
1.33054,4.40765e-06,4.53159e-06
1.38075,2.66779e-06,2.7428e-06
1.43096,1.61471e-06,1.66012e-06
1.48117,9.77326e-07,1.00481e-06
1.53138,5.91539e-07,6.08173e-07
1.58159,3.58037e-07,3.68105e-07
1.6318,2.16707e-07,2.228e-07
1.68201,1.31165e-07,1.34853e-07
1.73222,7.9389e-08,8.16214e-08
1.78243,4.80513e-08,4.94024e-08
1.83264,2.90836e-08,2.99015e-08
1.88285,1.76033e-08,1.80982e-08
1.93305,1.06546e-08,1.09542e-08
1.98326,6.44884e-09,6.63017e-09
2.03347,3.90324e-09,4.013e-09
2.08368,2.36249e-09,2.42892e-09
2.13389,1.42993e-09,1.47014e-09
2.1841,8.65482e-10,8.89819e-10
2.23431,5.23845e-10,5.38575e-10
