t,e_max
0,0
2.56161e-05,0.229585
5.12321e-05,0.138367
7.68482e-05,0.103191
0.000102464,0.0875889
0.00012808,0.0764826
0.000153696,0.0683923
0.000179312,0.0622735
0.000204929,0.0574785
0.000230545,0.0536071
0.000256161,0.0504041
0.000281777,0.0477009
0.000307393,0.045382
0.000333009,0.0433655
0.000358625,0.0415917
0.000384241,0.040016
0.000409857,0.0386044
0.000435473,0.0373306
0.000461089,0.0361737
0.000486705,0.0351169
0.000512321,0.0341467
0.000537937,0.033252
0.000563553,0.0324234
0.00058917,0.0316533
0.000614786,0.0309352
0.000640402,0.0302634
0.000666018,0.0296331
0.000691634,0.0290404
0.00071725,0.0284816
0.000742866,0.0279537
0.000768482,0.0274538
0.000794098,0.0269796
0.000819714,0.026529
0.00084533,0.0261001
0.000870946,0.0256912
0.000896562,0.0253008
0.000922178,0.0249275
0.000947794,0.0245702
0.000973411,0.0242277
0.000999027,0.0238991
0.00102464,0.0235834
0.00105026,0.0232798
0.00107587,0.0229875
0.00110149,0.0227059
0.00112711,0.0224343
0.00115272,0.0221722
0.00117834,0.021919
0.00120396,0.0216742
0.00122957,0.0214374
0.00125519,0.0212082
0.0012808,0.020986
0.00130642,0.0207707
0.00133204,0.0205618
0.00135765,0.0203591
0.00138327,0.0201622
0.00140888,0.0199708
0.0014345,0.0197848
0.00146012,0.0196039
0.00148573,0.0194277
0.00151135,0.0192562
0.00153696,0.0190892
0.00156258,0.0189264
0.0015882,0.0187676
0.00161381,0.0186128
0.00163943,0.0184617
0.00166504,0.0183142
0.00169066,0.0181701
0.00171628,0.0180294
0.00174189,0.0178919
0.00176751,0.0177574
0.00179312,0.0176259
0.00181874,0.0174973
0.00184436,0.0173714
0.00186997,0.0172482
0.00189559,0.0171275
0.0019212,0.0170093
0.00194682,0.0168936
0.00197244,0.0167801
0.00199805,0.0166689
0.00202367,0.0165598
0.00204929,0.0164529
0.0020749,0.0163479
0.00210052,0.016245
0.00212613,0.0161439
0.00215175,0.0160447
0.00217737,0.0159473
0.00220298,0.0158516
0.0022286,0.0157576
0.00225421,0.0156653
0.00227983,0.0155745
0.00230545,0.0154853
0.00233106,0.0153976
0.00235668,0.0153114
0.00238229,0.0152265
0.00240791,0.0151431
0.00243353,0.015061
0.00245914,0.0149802
0.00248476,0.0149007
0.00251037,0.0148225
0.00253599,0.0147454
0.00256161,0.0146695
0.00258722,0.0145948
0.00261284,0.0145212
0.00263845,0.0144487
0.00266407,0.0143773
0.00268969,0.0143069
0.0027153,0.0142375
0.00274092,0.0141691
0.00276654,0.0141017
0.00279215,0.0140352
0.00281777,0.0139697
0.00284338,0.013905
0.002869,0.0138412
0.00289462,0.0137783
0.00292023,0.0137163
0.00294585,0.013655
0.00297146,0.0135946
0.00299708,0.013535
0.0030227,0.0134761
0.00304831,0.013418
0.00307393,0.0133606
0.00309954,0.013304
0.00312516,0.013248
0.00315078,0.0131928
0.00317639,0.0131382
0.00320201,0.0130843
0.00322762,0.013031
0.00325324,0.0129784
0.00327886,0.0129264
0.00330447,0.0128751
0.00333009,0.0128243
0.0033557,0.0127741
0.00338132,0.0127245
0.00340694,0.0126755
0.00343255,0.012627
0.00345817,0.0125791
0.00348379,0.0125317
0.0035094,0.0124849
0.00353502,0.0124385
0.00356063,0.0123927
0.00358625,0.0123474
0.00361187,0.0123025
0.00363748,0.0122582
0.0036631,0.0122143
0.00368871,0.0121708
0.00371433,0.0121279
0.00373995,0.0120853
0.00376556,0.0120433
0.00379118,0.0120016
0.00381679,0.0119604
0.00384241,0.0119196
0.00386803,0.0118792
0.00389364,0.0118392
0.00391926,0.0117996
0.00394487,0.0117604
0.00397049,0.0117216
0.00399611,0.0116832
0.00402172,0.0116451
0.00404734,0.0116074
0.00407295,0.0115701
0.00409857,0.0115331
0.00412419,0.0114964
0.0041498,0.0114601
0.00417542,0.0114242
0.00420103,0.0113886
0.00422665,0.0113533
0.00425227,0.0113183
0.00427788,0.0112837
0.0043035,0.0112493
0.00432912,0.0112153
0.00435473,0.0111816
0.00438035,0.0111482
0.00440596,0.011115
0.00443158,0.0110822
0.0044572,0.0110497
0.00448281,0.0110174
0.00450843,0.0109854
0.00453404,0.0109537
0.00455966,0.0109223
0.00458528,0.0108911
0.00461089,0.0108602
0.00463651,0.0108295
0.00466212,0.0107991
0.00468774,0.010769
0.00471336,0.0107391
0.00473897,0.0107094
0.00476459,0.01068
0.0047902,0.0106509
0.00481582,0.0106219
0.00484144,0.0105932
0.00486705,0.0105648
0.00489267,0.0105365
0.00491828,0.0105085
0.0049439,0.0104807
0.00496952,0.0104531
0.00499513,0.0104257
0.00502075,0.0103986
0.00504637,0.0103716
0.00507198,0.0103449
0.0050976,0.0103184
0.00512321,0.010292
0.00514883,0.0102659
0.00517445,0.0102399
0.00520006,0.0102142
0.00522568,0.0101886
0.00525129,0.0101633
0.00527691,0.0101381
0.00530253,0.0101131
0.00532814,0.0100883
0.00535376,0.0100637
0.00537937,0.0100392
0.00540499,0.0100149
0.00543061,0.00999083
0.00545622,0.0099669
0.00548184,0.00994314
0.00550745,0.00991954
0.00553307,0.00989612
0.00555869,0.00987285
0.0055843,0.00984975
0.00560992,0.00982681
0.00563553,0.00980402
0.00566115,0.00978139
0.00568677,0.00975892
0.00571238,0.0097366
0.005738,0.00971443
0.00576361,0.00969241
0.00578923,0.00967054
0.00581485,0.00964881
0.00584046,0.00962723
0.00586608,0.00960579
0.0058917,0.00958449
0.00591731,0.00956333
0.00594293,0.00954231
0.00596854,0.00952143
0.00599416,0.00950068
0.00601978,0.00948007
0.00604539,0.00945959
0.00607101,0.00943924
0.00609662,0.00941902
0.00612224,0.00939893
0.00614786,0.00937896
0.00617347,0.00935912
0.00619909,0.00933941
0.0062247,0.00931982
0.00625032,0.00930034
0.00627594,0.00928099
0.00630155,0.00926176
0.00632717,0.00924265
0.00635278,0.00922366
0.0063784,0.00920477
0.00640402,0.00918601
0.00642963,0.00916736
0.00645525,0.00914882
0.00648086,0.00913039
0.00650648,0.00911207
0.0065321,0.00909386
0.00655771,0.00907576
0.00658333,0.00905776
0.00660895,0.00903987
0.00663456,0.00902208
0.00666018,0.0090044
0.00668579,0.00898682
0.00671141,0.00896935
0.00673703,0.00895197
0.00676264,0.00893469
0.00678826,0.00891751
0.00681387,0.00890043
0.00683949,0.00888345
0.00686511,0.00886656
0.00689072,0.00884977
0.00691634,0.00883307
0.00694195,0.00881647
0.00696757,0.00879996
0.00699319,0.00878354
0.0070188,0.00876721
0.00704442,0.00875097
0.00707003,0.00873482
0.00709565,0.00871875
0.00712127,0.00870278
0.00714688,0.00868689
0.0071725,0.00867109
0.00719811,0.00865537
0.00722373,0.00863974
0.00724935,0.00862419
0.00727496,0.00860872
0.00730058,0.00859334
0.00732619,0.00857804
0.00735181,0.00856282
0.00737743,0.00854768
0.00740304,0.00853261
0.00742866,0.00851763
0.00745428,0.00850273
0.00747989,0.0084879
0.00750551,0.00847315
0.00753112,0.00845847
0.00755674,0.00844387
0.00758236,0.00842935
0.00760797,0.00841489
0.00763359,0.00840052
0.0076592,0.00838621
0.00768482,0.00837198
0.00771044,0.00835782
0.00773605,0.00834373
0.00776167,0.00832971
0.00778728,0.00831576
0.0078129,0.00830188
0.00783852,0.00828807
0.00786413,0.00827432
0.00788975,0.00826065
0.00791536,0.00824704
0.00794098,0.00823349
0.0079666,0.00822002
0.00799221,0.00820661
0.00801783,0.00819326
0.00804344,0.00817998
0.00806906,0.00816676
0.00809468,0.0081536
0.00812029,0.00814051
0.00814591,0.00812748
0.00817153,0.00811451
0.00819714,0.00810161
0.00822276,0.00808876
0.00824837,0.00807598
0.00827399,0.00806325
0.00829961,0.00805059
0.00832522,0.00803798
0.00835084,0.00802543
0.00837645,0.00801294
0.00840207,0.00800051
0.00842769,0.00798813
0.0084533,0.00797581
0.00847892,0.00796355
0.00850453,0.00795134
0.00853015,0.00793919
0.00855577,0.0079271
0.00858138,0.00791506
0.008607,0.00790307
0.00863261,0.00789114
0.00865823,0.00787926
0.00868385,0.00786743
0.00870946,0.00785566
0.00873508,0.00784394
0.00876069,0.00783227
0.00878631,0.00782065
0.00881193,0.00780908
0.00883754,0.00779756
0.00886316,0.0077861
0.00888878,0.00777468
0.00891439,0.00776332
0.00894001,0.007752
0.00896562,0.00774073
0.00899124,0.00772951
0.00901686,0.00771834
0.00904247,0.00770722
0.00906809,0.00769614
0.0090937,0.00768511
0.00911932,0.00767413
0.00914494,0.00766319
0.00917055,0.00765231
0.00919617,0.00764146
0.00922178,0.00763067
0.0092474,0.00761991
0.00927302,0.00760921
0.00929863,0.00759854
0.00932425,0.00758793
0.00934986,0.00757735
0.00937548,0.00756682
0.0094011,0.00755633
0.00942671,0.00754589
0.00945233,0.00753549
0.00947794,0.00752513
0.00950356,0.00751481
0.00952918,0.00750454
0.00955479,0.00749431
0.00958041,0.00748412
0.00960602,0.00747397
0.00963164,0.00746386
0.00965726,0.00745379
0.00968287,0.00744376
0.00970849,0.00743377
0.00973411,0.00742382
0.00975972,0.00741391
0.00978534,0.00740404
0.00981095,0.00739421
0.00983657,0.00738442
0.00986219,0.00737467
0.0098878,0.00736495
0.00991342,0.00735527
0.00993903,0.00734563
0.00996465,0.00733603
0.00999027,0.00732647
0.0100159,0.00731694
0.0100415,0.00730745
0.0100671,0.00729799
0.0100927,0.00728858
0.0101183,0.00727919
0.010144,0.00726985
0.0101696,0.00726054
0.0101952,0.00725126
0.0102208,0.00724202
0.0102464,0.00723282
0.010272,0.00722365
0.0102977,0.00721451
0.0103233,0.00720541
0.0103489,0.00719634
0.0103745,0.00718731
0.0104001,0.00717831
0.0104257,0.00716934
0.0104514,0.00716041
0.010477,0.00715151
0.0105026,0.00714264
0.0105282,0.0071338
0.0105538,0.007125
0.0105794,0.00711623
0.0106051,0.00710749
0.0106307,0.00709879
0.0106563,0.00709011
0.0106819,0.00708147
0.0107075,0.00707286
0.0107331,0.00706428
0.0107587,0.00705573
0.0107844,0.00704721
0.01081,0.00703872
0.0108356,0.00703026
0.0108612,0.00702184
0.0108868,0.00701344
0.0109124,0.00700507
0.0109381,0.00699673
0.0109637,0.00698842
0.0109893,0.00698014
0.0110149,0.00697189
0.0110405,0.00696367
0.0110661,0.00695548
0.0110918,0.00694731
0.0111174,0.00693918
0.011143,0.00693107
0.0111686,0.00692299
0.0111942,0.00691494
0.0112198,0.00690692
0.0112455,0.00689892
0.0112711,0.00689095
0.0112967,0.00688301
0.0113223,0.0068751
0.0113479,0.00686721
0.0113735,0.00685935
0.0113991,0.00685152
0.0114248,0.00684371
0.0114504,0.00683593
0.011476,0.00682817
0.0115016,0.00682045
0.0115272,0.00681274
0.0115528,0.00680507
0.0115785,0.00679742
0.0116041,0.00678979
0.0116297,0.00678219
0.0116553,0.00677462
0.0116809,0.00676707
0.0117065,0.00675955
0.0117322,0.00675205
0.0117578,0.00674457
0.0117834,0.00673712
0.011809,0.0067297
0.0118346,0.0067223
0.0118602,0.00671492
0.0118859,0.00670757
0.0119115,0.00670024
0.0119371,0.00669293
0.0119627,0.00668565
0.0119883,0.00667839
0.0120139,0.00667116
0.0120396,0.00666395
0.0120652,0.00665676
0.0120908,0.00664959
0.0121164,0.00664245
0.012142,0.00663533
0.0121676,0.00662823
0.0121932,0.00662116
0.0122189,0.00661411
0.0122445,0.00660708
0.0122701,0.00660007
0.0122957,0.00659309
0.0123213,0.00658612
0.0123469,0.00657918
0.0123726,0.00657226
0.0123982,0.00656536
0.0124238,0.00655849
0.0124494,0.00655163
0.012475,0.0065448
0.0125006,0.00653798
0.0125263,0.00653119
0.0125519,0.00652442
0.0125775,0.00651767
0.0126031,0.00651094
0.0126287,0.00650423
0.0126543,0.00649755
0.01268,0.00649088
0.0127056,0.00648423
0.0127312,0.00647761
0.0127568,0.006471
0.0127824,0.00646441
0.012808,0.00645785
0.0128336,0.0064513
0.0128593,0.00644477
0.0128849,0.00643826
0.0129105,0.00643177
0.0129361,0.00642531
0.0129617,0.00641886
0.0129873,0.00641243
0.013013,0.00640602
0.0130386,0.00639962
0.0130642,0.00639325
0.0130898,0.0063869
0.0131154,0.00638056
0.013141,0.00637424
0.0131667,0.00636795
0.0131923,0.00636167
0.0132179,0.00635541
0.0132435,0.00634916
0.0132691,0.00634294
0.0132947,0.00633673
0.0133204,0.00633054
0.013346,0.00632437
0.0133716,0.00631822
0.0133972,0.00631209
0.0134228,0.00630597
0.0134484,0.00629987
0.0134741,0.00629379
0.0134997,0.00628772
0.0135253,0.00628167
0.0135509,0.00627564
0.0135765,0.00626963
0.0136021,0.00626364
0.0136277,0.00625766
0.0136534,0.0062517
0.013679,0.00624575
0.0137046,0.00623982
0.0137302,0.00623391
0.0137558,0.00622802
0.0137814,0.00622214
0.0138071,0.00621628
0.0138327,0.00621043
0.0138583,0.00620461
0.0138839,0.00619879
0.0139095,0.006193
0.0139351,0.00618722
0.0139608,0.00618145
0.0139864,0.0061757
0.014012,0.00616997
0.0140376,0.00616426
0.0140632,0.00615855
0.0140888,0.00615287
0.0141145,0.0061472
0.0141401,0.00614155
0.0141657,0.00613591
0.0141913,0.00613029
0.0142169,0.00612468
0.0142425,0.00611908
0.0142681,0.00611351
0.0142938,0.00610795
0.0143194,0.0061024
0.014345,0.00609687
0.0143706,0.00609135
0.0143962,0.00608585
0.0144218,0.00608036
0.0144475,0.00607489
0.0144731,0.00606943
0.0144987,0.00606398
0.0145243,0.00605856
0.0145499,0.00605314
0.0145755,0.00604774
0.0146012,0.00604235
0.0146268,0.00603698
0.0146524,0.00603162
0.014678,0.00602628
0.0147036,0.00602095
0.0147292,0.00601564
0.0147549,0.00601034
0.0147805,0.00600505
0.0148061,0.00599977
0.0148317,0.00599451
0.0148573,0.00598927
0.0148829,0.00598404
0.0149086,0.00597882
0.0149342,0.00597361
0.0149598,0.00596842
0.0149854,0.00596324
0.015011,0.00595808
0.0150366,0.00595292
0.0150622,0.00594779
0.0150879,0.00594266
0.0151135,0.00593755
0.0151391,0.00593245
0.0151647,0.00592736
0.0151903,0.00592229
0.0152159,0.00591723
0.0152416,0.00591218
0.0152672,0.00590715
0.0152928,0.00590213
0.0153184,0.00589712
0.015344,0.00589212
0.0153696,0.00588714
0.0153953,0.00588217
0.0154209,0.00587721
0.0154465,0.00587226
0.0154721,0.00586733
0.0154977,0.0058624
0.0155233,0.00585749
0.015549,0.0058526
0.0155746,0.00584771
0.0156002,0.00584284
0.0156258,0.00583798
0.0156514,0.00583313
0.015677,0.00582829
0.0157026,0.00582347
0.0157283,0.00581865
0.0157539,0.00581385
0.0157795,0.00580906
0.0158051,0.00580429
0.0158307,0.00579952
0.0158563,0.00579477
0.015882,0.00579002
0.0159076,0.00578529
0.0159332,0.00578057
0.0159588,0.00577586
0.0159844,0.00577117
0.01601,0.00576648
0.0160357,0.00576181
0.0160613,0.00575715
0.0160869,0.00575249
0.0161125,0.00574785
0.0161381,0.00574322
0.0161637,0.00573861
0.0161894,0.005734
0.016215,0.0057294
0.0162406,0.00572482
0.0162662,0.00572024
0.0162918,0.00571568
0.0163174,0.00571113
0.0163431,0.00570658
0.0163687,0.00570205
0.0163943,0.00569753
0.0164199,0.00569302
0.0164455,0.00568852
0.0164711,0.00568404
0.0164967,0.00567956
0.0165224,0.00567509
0.016548,0.00567063
0.0165736,0.00566619
0.0165992,0.00566175
0.0166248,0.00565732
0.0166504,0.00565291
0.0166761,0.0056485
0.0167017,0.00564411
0.0167273,0.00563972
0.0167529,0.00563535
0.0167785,0.00563098
0.0168041,0.00562663
0.0168298,0.00562228
0.0168554,0.00561795
0.016881,0.00561362
0.0169066,0.00560931
0.0169322,0.005605
0.0169578,0.00560071
0.0169835,0.00559642
0.0170091,0.00559215
0.0170347,0.00558788
