x,U_ML_Thomas,U_exact
-6,0,0
-5.99494,4.86797e-477,0
-5.98987,1.45259e-476,0
-5.98481,3.84771e-476,0
-5.97975,1.00288e-475,0
-5.97468,2.60777e-475,0
-5.96962,6.77853e-475,0
-5.96456,1.76188e-474,0
-5.95949,4.57943e-474,0
-5.95443,1.19026e-473,0
-5.94937,3.09366e-473,0
-5.9443,8.04077e-473,0
-5.93924,2.08988e-472,0
-5.93418,5.43177e-472,0
-5.92911,1.41175e-471,0
-5.92405,3.66922e-471,0
-5.91899,9.53642e-471,0
-5.91392,2.47853e-470,0
-5.90886,6.4417e-470,0
-5.9038,1.67419e-469,0
-5.89873,4.35116e-469,0
-5.89367,1.13084e-468,0
-5.88861,2.93898e-468,0
-5.88354,7.63817e-468,0
-5.87848,1.98508e-467,0
-5.87342,5.15899e-467,0
-5.86835,1.34075e-466,0
-5.86329,3.48441e-466,0
-5.85823,9.05537e-466,0
-5.85316,2.35332e-465,0
-5.8481,6.1158e-465,0
-5.84304,1.58936e-464,0
-5.83797,4.13036e-464,0
-5.83291,1.07337e-463,0
-5.82785,2.78941e-463,0
-5.82278,7.24885e-463,0
-5.81772,1.88375e-462,0
-5.81266,4.89525e-462,0
-5.80759,1.27211e-461,0
-5.80253,3.30574e-461,0
-5.79747,8.59037e-461,0
-5.79241,2.2323e-460,0
-5.78734,5.80081e-460,0
-5.78228,1.50738e-459,0
-5.77722,3.917e-459,0
-5.77215,1.01784e-458,0
-5.76709,2.64488e-458,0
-5.76203,6.87272e-458,0
-5.75696,1.78586e-457,0
-5.7519,4.64049e-457,0
-5.74684,1.2058e-456,0
-5.74177,3.13319e-456,0
-5.73671,8.1413e-456,0
-5.73165,2.11543e-455,0
-5.72658,5.49666e-455,0
-5.72152,1.42823e-454,0
-5.71646,3.71101e-454,0
-5.71139,9.64237e-454,0
-5.70633,2.50538e-453,0
-5.70127,6.50967e-453,0
-5.6962,1.69138e-452,0
-5.69114,4.39462e-452,0
-5.68608,1.14182e-451,0
-5.68101,2.96669e-451,0
-5.67595,7.70802e-451,0
-5.67089,2.00267e-450,0
-5.66582,5.20325e-450,0
-5.66076,1.35187e-449,0
-5.6557,3.51232e-449,0
-5.65063,9.12535e-449,0
-5.64557,2.37084e-448,0
-5.64051,6.15958e-448,0
-5.63544,1.60028e-447,0
-5.63038,4.15757e-447,0
-5.62532,1.08014e-446,0
-5.62025,2.80618e-446,0
-5.61519,7.29037e-446,0
-5.61013,1.894e-445,0
-5.60506,4.92047e-445,0
-5.6,1.27829e-444,0
-5.59494,3.32087e-444,0
-5.58987,8.62719e-444,0
-5.58481,2.24122e-443,0
-5.57975,5.82231e-443,0
-5.57468,1.51253e-442,0
-5.56962,3.92924e-442,0
-5.56456,1.02073e-441,0
-5.55949,2.65161e-441,0
-5.55443,6.88818e-441,0
-5.54937,1.78935e-440,0
-5.5443,4.64821e-440,0
-5.53924,1.20746e-439,0
-5.53418,3.13656e-439,0
-5.52911,8.14767e-439,0
-5.52405,2.11646e-438,0
-5.51899,5.49771e-438,0
-5.51392,1.42808e-437,0
-5.50886,3.70952e-437,0
-5.5038,9.63566e-437,0
-5.49873,2.50289e-436,0
-5.49367,6.50126e-436,0
-5.48861,1.68869e-435,0
-5.48354,4.38633e-435,0
-5.47848,1.13933e-434,0
-5.47342,2.95932e-434,0
-5.46835,7.68655e-434,0
-5.46329,1.99649e-433,0
-5.45823,5.18563e-433,0
-5.45316,1.34689e-432,0
-5.4481,3.49831e-432,0
-5.44304,9.0862e-432,0
-5.43797,2.35995e-431,0
-5.43291,6.12942e-431,0
-5.42785,1.59196e-430,0
-5.42278,4.13469e-430,0
-5.41772,1.07387e-429,0
-5.41266,2.78903e-429,0
-5.40759,7.24358e-429,0
-5.40253,1.88127e-428,0
-5.39747,4.88589e-428,0
-5.39241,1.26892e-427,0
-5.38734,3.29549e-427,0
-5.38228,8.5586e-427,0
-5.37722,2.22271e-426,0
-5.37215,5.77243e-426,0
-5.36709,1.4991e-425,0
-5.36203,3.89315e-425,0
-5.35696,1.01104e-424,0
-5.3519,2.62561e-424,0
-5.34684,6.81849e-424,0
-5.34177,1.7707e-423,0
-5.33671,4.59829e-423,0
-5.33165,1.19411e-422,0
-5.32658,3.10092e-422,0
-5.32152,8.05252e-422,0
-5.31646,2.09108e-421,0
-5.31139,5.43006e-421,0
-5.30633,1.41006e-420,0
-5.30127,3.66154e-420,0
-5.2962,9.50797e-420,0
-5.29114,2.46893e-419,0
-5.28608,6.411e-419,0
-5.28101,1.66471e-418,0
-5.27595,4.32264e-418,0
-5.27089,1.12242e-417,0
-5.26582,2.91447e-417,0
-5.26076,7.5676e-417,0
-5.2557,1.96496e-416,0
-5.25063,5.10207e-416,0
-5.24557,1.32475e-415,0
-5.24051,3.4397e-415,0
-5.23544,8.93103e-415,0
-5.23038,2.31889e-414,0
-5.22532,6.0208e-414,0
-5.22025,1.56324e-413,0
-5.21519,4.05874e-413,0
-5.21013,1.05379e-412,0
-5.20506,2.73599e-412,0
