log10(h),log10(max_error)
-0.2825465899699680512,-1.7790845763401230826
-0.5929166118880926367,-2.2105520091110468499
-0.7720771026714504584,-2.5282384017836266599
-0.8985423592412229387,-2.7660932955074618246
-0.9963657153449059316,-2.9546851375914047787
-1.0761547914174369822,-3.1105716716179081119
-1.1435352250999584523,-3.2430017981363148398
-1.2018521212001027099,-3.3581193175981829506
-1.2532572138679805036,-3.4599543863843174277
-1.2992166549005128573,-3.5511356830094199036
-1.3407745024421330413,-3.6336968530122125611
-1.3787006506863674975,-3.7091627842639996212
-1.4135791429792126779,-3.7786017954729873764
-1.4458635609892204112,-3.8429073215553545050
-1.4759132025306943201,-3.9028164899521018778
-1.5040175279209979127,-3.9588625977736093397
-1.5304131631775952099,-4.0115076541275572733
-1.5552960241131067731,-4.0611661932062625680
-1.5788301506094875770,-4.1081420784854409379
-1.6011542673669383924,-4.1527001415970111273
-1.6223867390083025695,-4.1950986902697944888
-1.6426293691649217805,-4.2355276486439396664
-1.6619703528041602212,-4.2741496460916405730
-1.6804865986420056608,-4.3111380467013350718
-1.6982455763416865522,-4.3466200066026144887
-1.7153068006115447878,-4.3807002256150007788
-1.7317230346210755568,-4.4135017944588871858
-1.7475412741213672470,-4.4451145097877821310
-1.7628035585424890576,-4.4756079779135082776
-1.7775476443352577801,-4.5050735410097227200
-1.7918075677129504647,-4.5335773831854438883
-1.8056141179013561318,-4.5611667356177430341
-1.8189952374500517259,-4.5879118352189317185
-1.8319763626923517847,-4.6138625239950596148
-1.8445807147810754474,-4.6390532297420841060
-1.8568295496675847650,-4.6635375136001665651
-1.8687423737841015645,-4.6873543026794949771
-1.8803371309253734200,-4.7105302288726443021
-1.8916303648248929464,-4.7331059738030404832
-1.9026373611230387716,-4.7551129980240540909
-1.9133722717845107951,-4.7765724471563561476
-1.9238482245059931795,-4.7975155730619597053
-1.9340774192358917193,-4.8179683524884975641
-1.9440712135860866422,-4.8379479658217179037
-1.9538401986352858454,-4.8574786093909939760
-1.9633942663925657710,-4.8765821334209833557
-1.9727426699984817127,-4.8952727851165133994
-1.9818940775821669742,-4.9135693834254010551
-1.9908566205601302463,-4.9314906069699377682
-1.9996379370512238484,-4.9490484883473455247
