t,e_max
0,0
0.001001,0.0925796
0.002002,0.0427251
0.003003,0.0275207
0.004004,0.0207627
0.00500501,0.0159904
0.00600601,0.0126911
0.00700701,0.0103537
0.00800801,0.00864159
0.00900901,0.00734695
0.01001,0.00641934
0.011011,0.00570372
0.012012,0.00509983
0.013013,0.00458646
0.014014,0.00414667
0.015015,0.00381326
0.016016,0.00356614
0.017017,0.00333199
0.018018,0.00311261
0.019019,0.00290858
0.02002,0.00273822
0.021021,0.00260422
0.022022,0.00247566
0.023023,0.00235315
0.024024,0.00223699
0.025025,0.00212724
0.026026,0.00203005
0.027027,0.00195281
0.028028,0.0018782
0.029029,0.0018064
0.03003,0.00173753
0.031031,0.00167164
0.032032,0.0016087
0.033033,0.00155101
0.034034,0.00150424
0.035035,0.00145884
0.036036,0.00141487
0.037037,0.00137238
0.038038,0.00133138
0.039039,0.00129186
0.04004,0.00125383
0.041041,0.00121772
0.042042,0.00118821
0.043043,0.00115946
0.044044,0.00113148
0.045045,0.0011043
0.046046,0.00107792
0.047047,0.00105233
0.048048,0.00102754
0.049049,0.00100352
0.0500501,0.00098027
0.0510511,0.000960225
0.0520521,0.000941384
0.0530531,0.000922988
0.0540541,0.00090504
0.0550551,0.00088754
0.0560561,0.000870488
0.0570571,0.000853881
0.0580581,0.000837714
0.0590591,0.00082198
0.0600601,0.000806674
0.0610611,0.000791973
0.0620621,0.000779258
0.0630631,0.000766806
0.0640641,0.000754618
0.0650651,0.000742693
0.0660661,0.000731031
0.0670671,0.000719629
0.0680681,0.000708485
0.0690691,0.000697596
0.0700701,0.000686958
0.0710711,0.000676569
0.0720721,0.000666423
0.0730731,0.000656516
0.0740741,0.000647696
0.0750751,0.000639212
0.0760761,0.000630888
0.0770771,0.000622723
0.0780781,0.000614716
0.0790791,0.000606865
0.0800801,0.00059917
0.0810811,0.000591628
0.0820821,0.000584237
0.0830831,0.000576996
0.0840841,0.000569901
0.0850851,0.00056295
0.0860861,0.000556142
0.0870871,0.000549473
0.0880881,0.00054331
0.0890891,0.000537473
0.0900901,0.000531734
0.0910911,0.000526093
0.0920921,0.00052055
0.0930931,0.000515102
0.0940941,0.000509749
0.0950951,0.00050449
0.0960961,0.000499324
0.0970971,0.000494249
0.0980981,0.000489264
0.0990991,0.000484367
0.1001,0.000479557
0.101101,0.000474834
0.102102,0.000470195
0.103103,0.000465639
0.104104,0.000461164
0.105105,0.00045709
0.106106,0.000453087
0.107107,0.000449146
0.108108,0.000445265
0.109109,0.000441443
0.11011,0.00043768
0.111111,0.000433976
0.112112,0.000430329
0.113113,0.000426739
0.114114,0.000423205
0.115115,0.000419726
0.116116,0.000416302
0.117117,0.000412931
0.118118,0.000409613
0.119119,0.000406346
0.12012,0.000403131
0.121121,0.000399967
0.122122,0.000396851
0.123123,0.000393785
0.124124,0.000390777
0.125125,0.000387986
0.126126,0.000385233
0.127127,0.000382518
0.128128,0.00037984
0.129129,0.000377199
0.13013,0.000374594
0.131131,0.000372025
0.132132,0.000369492
0.133133,0.000366993
0.134134,0.000364528
0.135135,0.000362098
0.136136,0.000359701
0.137137,0.000357337
0.138138,0.000355005
0.139139,0.000352706
0.14014,0.000350438
0.141141,0.000348201
0.142142,0.000345995
0.143143,0.000343819
0.144144,0.000341672
0.145145,0.000339555
0.146146,0.000337467
0.147147,0.000335407
0.148148,0.000333375
0.149149,0.00033141
0.15015,0.000329525
0.151151,0.000327663
0.152152,0.000325823
0.153153,0.000324006
0.154154,0.000322211
0.155155,0.000320437
0.156156,0.000318686
0.157157,0.000316955
0.158158,0.000315245
0.159159,0.000313556
0.16016,0.000311888
0.161161,0.000310239
0.162162,0.000308611
0.163163,0.000307002
0.164164,0.000305412
0.165165,0.000303841
0.166166,0.000302289
0.167167,0.000300756
0.168168,0.000299241
0.169169,0.000297744
0.17017,0.000296265
0.171171,0.000294803
0.172172,0.000293359
0.173173,0.000291932
0.174174,0.000290521
0.175175,0.000289127
0.176176,0.000287749
0.177177,0.000286388
0.178178,0.000285042
0.179179,0.000283712
0.18018,0.000282398
0.181181,0.000281098
0.182182,0.00027985
0.183183,0.000278621
0.184184,0.000277405
0.185185,0.000276202
0.186186,0.000275012
0.187187,0.000273834
0.188188,0.000272669
0.189189,0.000271516
0.19019,0.000270376
0.191191,0.000269247
0.192192,0.00026813
0.193193,0.000267025
