x,U_ML_full_LU,U_exact
-6,0,0
-5.96834,3.3559e-68,0
-5.93668,9.73684e-68,0
-5.90501,2.48911e-67,0
-5.87335,6.2462e-67,0
-5.84169,1.56254e-66,0
-5.81003,3.90609e-66,0
-5.77836,9.76143e-66,0
-5.7467,2.43878e-65,0
-5.71504,6.09145e-65,0
-5.68338,1.5211e-64,0
-5.65172,3.79739e-64,0
-5.62005,9.47762e-64,0
-5.58839,2.36483e-63,0
-5.55673,5.89908e-63,0
-5.52507,1.47113e-62,0
-5.4934,3.66778e-62,0
-5.46174,9.14186e-62,0
-5.43008,2.27796e-61,0
-5.39842,5.6746e-61,0
-5.36675,1.41319e-60,0
-5.33509,3.51838e-60,0
-5.30343,8.75708e-60,0
-5.27177,2.17895e-59,0
-5.24011,5.42011e-59,0
-5.20844,1.34784e-58,0
-5.17678,3.3507e-58,0
-5.14512,8.32722e-58,0
-5.11346,2.06885e-57,0
-5.08179,5.13834e-57,8.34716e-283
-5.05013,1.27579e-56,2.53339e-279
-5.01847,3.1666e-56,7.31365e-276
-4.98681,7.85718e-56,2.00833e-272
-4.95515,1.94893e-55,5.24572e-269
-4.92348,4.83262e-55,1.3033e-265
-4.89182,1.1979e-54,3.08001e-262
-4.86016,2.96833e-54,6.92356e-259
-4.8285,7.35279e-54,1.48039e-255
-4.79683,1.82071e-53,3.01088e-252
-4.76517,4.50685e-53,5.8248e-249
-4.73351,1.11519e-52,1.07186e-245
-4.70185,2.75848e-52,1.87615e-242
-4.67018,6.8207e-52,3.12368e-239
-4.63852,1.68588e-51,4.94693e-236
-4.60686,4.16542e-51,7.45208e-233
-4.5752,1.02879e-50,1.0678e-229
-4.54354,2.53993e-50,1.45537e-226
-4.51187,6.26829e-50,1.88682e-223
-4.48021,1.54633e-49,2.32681e-220
-4.44855,3.81312e-49,2.72937e-217
-4.41689,9.39898e-49,3.04534e-214
-4.38522,2.3158e-48,3.23209e-211
-4.35356,5.70345e-48,3.2629e-208
-4.3219,1.40407e-47,3.13327e-205
-4.29024,3.45504e-47,2.86198e-202
-4.25858,8.49819e-47,2.48662e-199
-4.22691,2.08933e-46,2.05507e-196
-4.19525,5.13441e-46,1.61554e-193
-4.16359,1.26118e-45,1.20805e-190
-4.13193,3.09642e-45,8.59266e-188
-4.10026,7.59871e-45,5.81361e-185
-4.0686,1.86385e-44,3.74146e-182
-4.03694,4.56954e-44,2.2904e-179
-4.00528,1.11975e-43,1.33371e-176
-3.97361,2.74253e-43,7.38729e-174
-3.94195,6.7137e-43,3.89213e-171
-3.91029,1.64267e-42,1.9506e-168
-3.87863,4.01707e-42,9.29882e-166
-3.84697,9.81838e-42,4.21663e-163
-3.8153,2.39848e-41,1.81879e-160
-3.78364,5.85591e-41,7.46241e-158
-3.75198,1.42893e-40,2.91243e-155
-3.72032,3.48485e-40,1.08122e-152
-3.68865,8.49388e-40,3.81813e-150
-3.65699,2.06907e-39,1.28254e-147
-3.62533,5.03719e-39,4.09799e-145
-3.59367,1.22557e-38,1.24553e-142
-3.56201,2.98006e-38,3.60098e-140
-3.53034,7.24169e-38,9.90307e-138
-3.49868,1.75865e-37,2.59062e-135
-3.46702,4.26817e-37,6.44645e-133
-3.43536,1.03519e-36,1.52589e-130
-3.40369,2.50903e-36,3.43566e-128
-3.37203,6.07714e-36,7.35842e-126
-3.34037,1.47094e-35,1.49915e-123
-3.30871,3.55782e-35,2.90531e-121
-3.27704,8.5993e-35,5.35584e-119
-3.24538,2.07696e-34,9.39186e-117
-3.21372,5.01268e-34,1.56662e-114
-3.18206,1.20889e-33,2.4858e-112
-3.1504,2.91318e-33,3.75198e-110
-3.11873,7.01473e-33,5.38697e-108
-3.08707,1.68775e-32,7.35733e-106
-3.05541,4.05744e-32,9.55848e-104
-3.02375,9.74624e-32,1.18128e-101
-2.99208,2.33914e-31,1.3887e-99
-2.96042,5.6092e-31,1.55295e-97
-2.92876,1.3439e-30,1.65198e-95
-2.8971,3.21693e-30,1.67167e-93
-2.86544,7.69346e-30,1.60913e-91
-2.83377,1.83822e-29,1.47343e-89
-2.80211,4.38794e-29,1.28342e-87
-2.77045,1.04641e-28,1.06343e-85
-2.73879,2.49295e-28,8.38207e-84
-2.70712,5.93315e-28,6.28486e-82
