log10(h),log10(max_error)
-0.2825465899699680512,-1.7790845763401230826
-0.5929166118880926367,-2.2105520091110468499
-0.7720771026714504584,-2.5282384017836266599
-0.8985423592412229387,-2.7660932955074618246
-0.9963657153449059316,-2.9546851375914047787
-1.0761547914174369822,-3.1105716716179081119
-1.1435352250999584523,-3.2430017981363148398
-1.2018521212001027099,-3.3581193175981829506
-1.2532572138679805036,-3.4599543863843174277
-1.2992166549005128573,-3.5511356830094199036
-1.3407745024421330413,-3.6336968530122125611
-1.3787006506863674975,-3.7091627842639996212
-1.4135791429792126779,-3.7786017954729873764
-1.4458635609892204112,-3.8429073215553545050
-1.4759132025306943201,-3.9028164899521018778
